Byte_Position,Bit_1_Count,Bit_0_Count
0,3067,5125
1024,3753,4439
2048,4020,4172
3072,4014,4178
4096,4031,4161
5120,3957,4235
6144,4089,4103
7168,4107,4085
8192,3982,4210
9216,4104,4088
10240,4061,4131
11264,4149,4043
12288,3975,4217
13312,3822,4370
14336,4047,4145
15360,4024,4168
16384,4098,4094
17408,4080,4112
18432,3975,4217
19456,3855,4337
20480,6169,2023
21504,8192,0
22528,8192,0
23552,4673,3519
24576,4092,4100
25600,3985,4207
26624,4036,4156
27648,4084,4108
28672,7171,1021
29696,8192,0
30720,8192,0
31744,8192,0
32768,8192,0
33792,7112,1080
34816,4068,4124
35840,4115,4077
36864,4019,4173
37888,4018,4174
38912,4071,4121
39936,4873,3319
40960,8192,0
41984,8192,0
43008,8192,0
44032,8192,0
45056,7142,1050
46080,3877,4315
47104,6538,1654
48128,8192,0
49152,8192,0
50176,8192,0
51200,8192,0
52224,8192,0
53248,8192,0
54272,8192,0
55296,8192,0
56320,5375,2817
57344,4038,4154
58368,4020,4172
59392,4084,4108
60416,4061,4131
61440,4009,4183
62464,4064,4128
63488,4098,4094
64512,6511,1681
65536,8192,0
66560,8192,0
67584,5215,2977
68608,3985,4207
69632,8192,0
70656,8192,0
71680,8192,0
72704,8192,0
73728,8192,0
74752,8192,0
75776,8192,0
76800,8192,0
77824,7632,560
78848,3424,4768
79872,8192,0
80896,8192,0
81920,8192,0
82944,8192,0
83968,8192,0
84992,8192,0
86016,8192,0
87040,8192,0
88064,8192,0
89088,7743,449
90112,4957,3235
91136,8192,0
92160,8192,0
93184,8192,0
94208,8192,0
95232,8192,0
96256,8192,0
97280,8192,0
98304,8192,0
99328,8192,0
100352,7776,416
101376,4055,4137
102400,4084,4108
103424,4185,4007
104448,3996,4196
105472,3976,4216
106496,3973,4219
107520,4475,3717
108544,8192,0
109568,8192,0
110592,8192,0
111616,6148,2044
112640,4035,4157
113664,4091,4101
114688,4076,4116
115712,4112,4080
116736,4111,4081
117760,4043,4149
118784,4151,4041
119808,4028,4164
120832,4992,3200
121856,8192,0
122880,6058,2134
123904,3866,4326
124928,7211,981
125952,8192,0
126976,8192,0
128000,8192,0
129024,8192,0
130048,8192,0
131072,8192,0
132096,8192,0
133120,8192,0
134144,4664,3528
135168,6306,1886
136192,8192,0
137216,8192,0
138240,8192,0
139264,8192,0
140288,8192,0
141312,8192,0
142336,8192,0
143360,8192,0
144384,8192,0
145408,6066,2126
146432,8192,0
147456,8192,0
148480,8192,0
149504,8192,0
150528,8192,0
151552,8192,0
152576,8192,0
153600,8192,0
154624,8192,0
155648,7336,856
156672,3982,4210
157696,4104,4088
158720,4046,4146
159744,4018,4174
160768,4082,4110
161792,4004,4188
162816,3949,4243
163840,4068,4124
164864,4087,4105
165888,7770,422
166912,7325,867
167936,3935,4257
168960,3977,4215
169984,4087,4105
171008,4042,4150
172032,4434,3758
173056,8192,0
174080,8192,0
175104,8192,0
176128,8192,0
177152,8192,0
178176,5739,2453
179200,3850,4342
180224,5999,2193
181248,8192,0
182272,8192,0
183296,8192,0
184320,8192,0
185344,8192,0
186368,8192,0
187392,8192,0
188416,8192,0
189440,5809,2383
190464,4019,4173
191488,4017,4175
192512,4118,4074
193536,4042,4150
194560,4043,4149
195584,4060,4132
196608,4092,4100
197632,5809,2383
198656,8192,0
199680,8192,0
200704,6028,2164
201728,3862,4330
202752,7331,861
203776,8192,0
204800,8192,0
205824,8192,0
206848,8192,0
207872,8192,0
208896,8192,0
209920,8192,0
210944,8192,0
211968,4528,3664
212992,4042,4150
214016,4101,4091
215040,4096,4096
216064,4081,4111
217088,4051,4141
218112,4081,4111
219136,5186,3006
220160,8192,0
221184,8192,0
222208,8192,0
223232,4341,3851
224256,4145,4047
225280,4045,4147
226304,4149,4043
227328,4050,4142
228352,4067,4125
229376,4158,4034
230400,4084,4108
231424,4053,4139
232448,4096,4096
233472,5323,2869
234496,4022,4170
235520,4631,3561
236544,8192,0
237568,8192,0
238592,8192,0
239616,8192,0
240640,8192,0
241664,8192,0
242688,8192,0
243712,8192,0
244736,7041,1151
245760,4068,4124
246784,4179,4013
247808,4106,4086
248832,4146,4046
249856,4005,4187
250880,3954,4238
251904,4061,4131
252928,4099,4093
253952,4174,4018
254976,3981,4211
256000,4072,4120
257024,3887,4305
258048,5384,2808
259072,8192,0
260096,8192,0
261120,8192,0
262144,8192,0
263168,8192,0
264192,8192,0
265216,8192,0
266240,8192,0
267264,5394,2798
268288,4012,4180
269312,4000,4192
270336,4081,4111
271360,4049,4143
272384,4071,4121
273408,4165,4027
274432,4005,4187
275456,4219,3973
276480,8192,0
277504,8192,0
278528,5755,2437
279552,4048,4144
280576,4081,4111
281600,4174,4018
282624,5204,2988
283648,8192,0
284672,8192,0
285696,8192,0
286720,8192,0
287744,8192,0
288768,8098,94
289792,4003,4189
290816,3806,4386
291840,7663,529
292864,8192,0
