DIP_Config,Bit1,Bit0,1/0 Ratio
ALL_OFF_1,14733105,40562895,0.36321630889511214
SW0_ON,19282245,36013755,0.5354133441514222
SW1_ON,20283745,35012255,0.579332722213979
SW2_ON,16708354,38587646,0.4329974935501378
SW3_ON,16570797,38725203,0.42790729851048165
SW4_ON,18503569,36792431,0.5029178148081599
SW5_ON,18936164,36359836,0.5207989386970833
SW6_ON,15950870,39345130,0.40540900487557163
SW7_ON,13654659,41641341,0.32791112562873515
SW8_ON,11764973,43531027,0.270266378048007
SW9_ON,18946921,36349079,0.52124899780817
ALL_OFF_2,17594759,37701241,0.4666891203926152
