Frame,Original_Bits,Compressed_Size,Compression_Ratio
0,921600,2,460800.0
1,921600,2,460800.0
2,921600,2,460800.0
3,921600,2,460800.0
4,921600,2,460800.0
5,156017,4798,32.51709045435598
6,156016,4798,32.51688203418091
7,156026,4798,32.518966235931636
8,156011,4798,32.51583993330554
9,156023,4798,32.51834097540642
10,921600,2,460800.0
11,921600,2,460800.0
12,921600,2,460800.0
13,921600,2,460800.0
14,921600,2,460800.0
15,921600,2,460800.0
16,921600,2,460800.0
17,156026,4798,32.518966235931636
18,156013,4798,32.51625677365569
19,156025,4798,32.518757815756565
20,156019,4798,32.51750729470613
21,156018,4798,32.51729887453106
22,156024,4798,32.518549395581495
23,156018,4798,32.51729887453106
24,156012,4798,32.51604835348062
25,921600,2,460800.0
26,921600,2,460800.0
27,921600,2,460800.0
28,921600,2,460800.0
29,921600,2,460800.0
30,921600,2,460800.0
31,156014,4798,32.51646519383076
32,156017,4798,32.51709045435598
33,156013,4798,32.51625677365569
34,156017,4798,32.51709045435598
35,156012,4798,32.51604835348062
36,156021,4798,32.517924135056276
37,921600,2,460800.0
38,921600,2,460800.0
39,921600,2,460800.0
40,921600,2,460800.0
41,921600,2,460800.0
42,921600,2,460800.0
43,156968,4798,32.71529804085036
44,156972,4798,32.716131721550646
45,156974,4798,32.716548561900794
46,156976,4798,32.716965402250935
47,156967,4798,32.71508962067528
48,156971,4798,32.715923301375575
49,156974,4798,32.716548561900794
50,156972,4798,32.716131721550646
51,156973,4798,32.716340141725716
52,921600,2,460800.0
53,921600,2,460800.0
54,921600,2,460800.0
55,921600,2,460800.0
56,921600,2,460800.0
57,921600,2,460800.0
58,156973,4798,32.716340141725716
59,156974,4798,32.716548561900794
60,156971,4798,32.715923301375575
61,156971,4798,32.715923301375575
62,156969,4798,32.71550646102543
63,156972,4798,32.716131721550646
64,921600,2,460800.0
65,921600,2,460800.0
66,921600,2,460800.0
67,921600,2,460800.0
68,921600,2,460800.0
69,921600,2,460800.0
70,158400,4798,33.01375573155482
71,158402,4798,33.01417257190496
72,158404,4798,33.014589412255106
73,158401,4798,33.01396415172989
74,158401,4798,33.01396415172989
75,158402,4798,33.01417257190496
76,158405,4798,33.014797832430176
77,158402,4798,33.01417257190496
78,158406,4798,33.015006252605254
79,921600,2,460800.0
80,921600,2,460800.0
81,921600,2,460800.0
82,921600,2,460800.0
83,921600,2,460800.0
84,921600,2,460800.0
85,158404,4798,33.014589412255106
86,158406,4798,33.015006252605254
87,158402,4798,33.01417257190496
88,158401,4798,33.01396415172989
89,158402,4798,33.01417257190496
90,158405,4798,33.014797832430176
91,921600,2,460800.0
92,921600,2,460800.0
93,921600,2,460800.0
94,921600,2,460800.0
95,921600,2,460800.0
96,921600,2,460800.0
97,161296,4798,33.61734055856607
98,161301,4798,33.61838265944144
99,161306,4798,33.6194247603168
100,161311,4798,33.62046686119216
101,161291,4798,33.616298457690704
102,161297,4798,33.61754897874114
103,161284,4798,33.614839516465196
104,161308,4798,33.619841600666945
105,161291,4798,33.616298457690704
106,921600,2,460800.0
107,921600,2,460800.0
108,921600,2,460800.0
109,921600,2,460800.0
110,921600,2,460800.0
111,921600,2,460800.0
112,921600,2,460800.0
113,161292,4798,33.616506877865774
114,161300,4798,33.61817423926636
115,161295,4798,33.617132138391
116,161305,4798,33.619216340141726
117,161295,4798,33.617132138391
118,921600,2,460800.0
119,921600,2,460800.0
120,921600,2,460800.0
121,921600,2,460800.0
122,921600,2,460800.0
123,921600,2,460800.0
124,167512,4798,34.91288036681951
125,167502,4798,34.91079616506878
126,167499,4798,34.91017090454356
127,167499,4798,34.91017090454356
128,167507,4798,34.91183826594414
129,167499,4798,34.91017090454356
130,167505,4798,34.911421425594
131,167500,4798,34.91037932471863
132,167501,4798,34.910587744893704
133,921600,2,460800.0
134,921600,2,460800.0
135,921600,2,460800.0
136,921600,2,460800.0
137,921600,2,460800.0
138,921600,2,460800.0
139,167499,4798,34.91017090454356
140,167503,4798,34.91100458524385
141,167501,4798,34.910587744893704
142,167502,4798,34.91079616506878
143,167499,4798,34.91017090454356
144,167499,4798,34.91017090454356
145,921600,2,460800.0
146,921600,2,460800.0
147,921600,2,460800.0
148,921600,2,460800.0
149,921600,2,460800.0
150,921600,2,460800.0
151,167502,4798,34.91079616506878
