Byte_Position,Bit_1_Count,Bit_0_Count
0,3074,5118
1024,3744,4448
2048,3395,4797
3072,4138,4054
4096,4204,3988
5120,4156,4036
6144,4112,4080
7168,4191,4001
8192,4062,4130
9216,4096,4096
10240,4121,4071
11264,3955,4237
12288,4065,4127
13312,4108,4084
14336,4040,4152
15360,4138,4054
16384,4077,4115
17408,4054,4138
18432,4083,4109
19456,4041,4151
20480,4165,4027
21504,4077,4115
22528,4121,4071
23552,4141,4051
24576,4073,4119
25600,4086,4106
26624,4041,4151
27648,4054,4138
28672,4107,4085
29696,4166,4026
30720,4147,4045
31744,4056,4136
32768,4115,4077
33792,4113,4079
34816,4090,4102
35840,3994,4198
36864,4072,4120
37888,4136,4056
38912,4174,4018
39936,4085,4107
40960,4021,4171
41984,4056,4136
43008,4004,4188
44032,4114,4078
45056,4071,4121
46080,4100,4092
47104,4082,4110
48128,4095,4097
49152,4046,4146
50176,4103,4089
51200,4075,4117
52224,4074,4118
53248,4035,4157
54272,4117,4075
55296,4113,4079
56320,4099,4093
57344,4039,4153
58368,4130,4062
59392,4110,4082
60416,4133,4059
61440,5853,2339
62464,8192,0
63488,8192,0
64512,8192,0
65536,8192,0
66560,8192,0
67584,8192,0
68608,8192,0
69632,8192,0
70656,8192,0
71680,8192,0
72704,8192,0
73728,8192,0
74752,8192,0
75776,8192,0
76800,8192,0
77824,8192,0
78848,8192,0
79872,8192,0
80896,8192,0
81920,8192,0
82944,8192,0
83968,8192,0
84992,8192,0
86016,8192,0
87040,8192,0
88064,8192,0
89088,8192,0
90112,8192,0
91136,8192,0
92160,8192,0
93184,8192,0
94208,8192,0
95232,8192,0
96256,8192,0
97280,8192,0
98304,8192,0
99328,8192,0
100352,8192,0
101376,8192,0
102400,8192,0
103424,8192,0
104448,8192,0
105472,8192,0
106496,8192,0
107520,8192,0
108544,8192,0
109568,8192,0
110592,8192,0
111616,8192,0
112640,8192,0
113664,8192,0
114688,8192,0
115712,8192,0
116736,8192,0
117760,8192,0
118784,8192,0
119808,8192,0
120832,8192,0
121856,8192,0
122880,8192,0
123904,8192,0
124928,8192,0
125952,8192,0
126976,8192,0
128000,8192,0
129024,8192,0
130048,8192,0
131072,8192,0
132096,8192,0
133120,8192,0
134144,8192,0
135168,8192,0
136192,8192,0
137216,8192,0
138240,8192,0
139264,8192,0
140288,8192,0
141312,8192,0
142336,8192,0
143360,8192,0
144384,8192,0
145408,8192,0
146432,8192,0
147456,8192,0
148480,8192,0
149504,8192,0
150528,8192,0
151552,8192,0
152576,8192,0
153600,8192,0
154624,8192,0
155648,8192,0
156672,8192,0
157696,8192,0
158720,8192,0
159744,8192,0
160768,8192,0
161792,8192,0
162816,8192,0
163840,8192,0
164864,8192,0
165888,8192,0
166912,8192,0
167936,8192,0
168960,8192,0
169984,8192,0
171008,8192,0
172032,8192,0
173056,8192,0
174080,8192,0
175104,8192,0
176128,8192,0
177152,8192,0
178176,8192,0
179200,8192,0
180224,8192,0
181248,8192,0
182272,8192,0
183296,8192,0
184320,8192,0
185344,8192,0
186368,8192,0
187392,8192,0
188416,8192,0
189440,8192,0
190464,8192,0
191488,8192,0
192512,8192,0
193536,8192,0
194560,8192,0
195584,8192,0
196608,8192,0
197632,8192,0
198656,8192,0
199680,8192,0
200704,8192,0
201728,8192,0
202752,8192,0
203776,8192,0
204800,8192,0
205824,8192,0
206848,8192,0
207872,8192,0
208896,8192,0
209920,3779,4413
210944,5537,2655
211968,8192,0
212992,8192,0
214016,8192,0
215040,8192,0
216064,8192,0
217088,8192,0
218112,8192,0
219136,8192,0
220160,8192,0
221184,8192,0
222208,8192,0
223232,8192,0
224256,8192,0
225280,8192,0
226304,8192,0
227328,8192,0
228352,8192,0
229376,8192,0
230400,8192,0
231424,8192,0
232448,8192,0
233472,8192,0
234496,8192,0
235520,8192,0
236544,8192,0
237568,8192,0
238592,8192,0
239616,8192,0
240640,8192,0
241664,8192,0
242688,8192,0
243712,8192,0
244736,8192,0
245760,8192,0
246784,8192,0
247808,8192,0
248832,8192,0
249856,8192,0
250880,8192,0
251904,8192,0
252928,8192,0
253952,8192,0
254976,8192,0
256000,8192,0
257024,8192,0
258048,8192,0
259072,8192,0
260096,8192,0
261120,8192,0
262144,8192,0
263168,8192,0
264192,8192,0
265216,8192,0
266240,8192,0
267264,8192,0
268288,8192,0
269312,8192,0
270336,8192,0
271360,8192,0
272384,8192,0
273408,8192,0
274432,8192,0
275456,8192,0
276480,8192,0
277504,8192,0
278528,8192,0
279552,8192,0
280576,8192,0
281600,8192,0
282624,8192,0
283648,8192,0
284672,8192,0
285696,8192,0
286720,8192,0
287744,8192,0
288768,8192,0
289792,8192,0
290816,8192,0
291840,8192,0
292864,8192,0
293888,8192,0
294912,8192,0
295936,8192,0
296960,8192,0
297984,8192,0
299008,8192,0
300032,8192,0
301056,8192,0
302080,8192,0
303104,8192,0
304128,8192,0
305152,8192,0
306176,8192,0
307200,8192,0
308224,8192,0
309248,8192,0
310272,8192,0
311296,8192,0
312320,8192,0
313344,8192,0
314368,8192,0
315392,8192,0
316416,8192,0
317440,8192,0
318464,8192,0
319488,8192,0
320512,8192,0
321536,8192,0
322560,8192,0
323584,8192,0
324608,8192,0
325632,8192,0
326656,8192,0
327680,8192,0
328704,8192,0
329728,8192,0
330752,8192,0
331776,8192,0
332800,8192,0
333824,8192,0
334848,8192,0
335872,8192,0
336896,8192,0
337920,8192,0
338944,8192,0
339968,8192,0
340992,8192,0
342016,8192,0
343040,8192,0
344064,8192,0
345088,8192,0
346112,8192,0
347136,8192,0
348160,8192,0
349184,8192,0
350208,8192,0
351232,8192,0
352256,8192,0
353280,8192,0
354304,8192,0
355328,8192,0
356352,8192,0
357376,8192,0
358400,8192,0
359424,8192,0
360448,8192,0
361472,8192,0
362496,8192,0
363520,8192,0
364544,8192,0
365568,8192,0
366592,8192,0
367616,8192,0
368640,8192,0
369664,8192,0
370688,8192,0
371712,8192,0
372736,8192,0
373760,8192,0
374784,8192,0
375808,8192,0
376832,8192,0
377856,8192,0
