DIP_Config,Bit1,Bit0,1/0 Ratio
ALL_OFF_1,20343192,34952808,0.5820188180589096
SW0_ON,14237442,41058558,0.3467594258911869
SW1_ON,14112212,41183788,0.3426642541963357
SW2_ON,10017973,45278027,0.22125462754814823
SW3_ON,14958308,40337692,0.370827066655177
SW4_ON,16058129,39237871,0.40925077204112326
SW5_ON,14347093,40948907,0.35036571305798225
SW6_ON,13762562,41533438,0.33136101085587955
SW7_ON,14137141,41158859,0.3434774758940718
SW8_ON,13605124,41690876,0.32633336848091177
SW9_ON,19927142,35368858,0.5634092568100446
ALL_OFF_2,15580728,39715272,0.39231074635470203
